Year,State,wsc_total,wsc_reports,wsc_reports_with_findings,wsc_reports_ontime,wsc_reports_ext_timelines,wsc_pending,wsc_pending_due_proc,wsc_withdrawn,med_total,med_held,med_from_due_proc,med_agreed_from_due_proc,med_not_from_due_proc,med_agreed_not_from_due_proc,med_pending,med_withdrawn,dpc_total,dpc_resolutions,dpc_resolutions_settlements,dpc_adjudicated,dpc_decisions_ontime,dpc_decisions_ext_timeline,dpc_pending,dpc_withdrawn,edpc_total,edpc_resolutions,edpc_resolutions_settlements,edpc_adjudicated,edpc_placement_changes,edpc_pending,edpc_withdrawn
2014-2015,south carolina,46,30,25,30,0,0,0,16,5,2,1,0,1,0,0,3,25,14,6,1,1,0,1,23,6,3,3,0,0,0,6
2014-2015,south dakota,8,8,8,7,1,0,0,0,7,4,1,1,3,2,0,3,3,1,1,1,0,1,0,2,1,1,1,0,0,0,1
2014-2015,tennessee,70,45,19,44,1,4,4,21,30,17,11,8,6,6,7,6,56,24,13,0,0,0,10,46,2,1,1,0,0,0,2
2014-2015,texas,277,124,56,123,1,10,4,143,305,176,110,79,66,61,79,50,370,143,67,14,1,13,86,270,33,17,14,1,0,3,29
2014-2015,utah,20,17,11,17,0,1,0,2,7,6,1,1,5,5,0,1,6,5,0,1,1,0,0,5,0,0,0,0,0,0,0
2014-2015,vermont,8,6,6,4,2,0,0,2,42,36,17,15,19,15,0,6,27,6,6,0,0,0,0,27,1,1,1,0,0,0,1
2014-2015,virgin islands,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,3,0,0,0,0,0,0,0
2014-2015,virginia,129,38,20,31,7,15,0,76,142,119,11,6,108,85,1,22,52,33,20,5,5,0,4,43,3,1,1,0,0,0,3
2014-2015,washington,81,72,57,69,3,0,0,9,67,39,17,13,22,20,0,28,107,48,9,11,0,11,12,84,8,6,1,1,0,0,7
2014-2015,west virginia,39,20,8,17,3,0,0,19,14,10,1,1,9,9,0,4,15,10,10,1,0,1,0,14,0,0,0,0,0,0,0
2014-2015,wisconsin,69,50,33,48,2,1,0,18,87,67,6,3,61,59,0,20,18,6,3,3,2,1,0,15,0,0,0,0,0,0,0
2014-2015,wyoming,7,5,4,5,0,0,0,2,1,1,1,1,0,0,0,0,4,3,3,0,0,0,0,4,1,1,1,0,0,0,1
2014-2015,"us, outlying areas, and freely associated states",4991,3016,1904,2814,151,191,111,1784,10260,6364,3574,2264,2790,2095,925,2971,17107,7855,1432,2571,1233,656,3417,11119,314,147,62,38,5,26,250
2013-2014,alabama,15,11,7,10,1,2,0,2,95,36,20,18,16,13,6,53,184,94,27,6,0,6,44,134,1,1,0,1,1,0,0
2013-2014,alaska,9,9,6,6,0,0,0,0,6,5,0,0,5,5,0,1,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0
2013-2014,american samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,arizona,78,47,29,47,0,0,0,31,59,36,14,9,22,17,1,22,66,23,15,1,0,1,13,52,3,1,1,0,0,0,3
2013-2014,arkansas,19,9,6,9,0,0,0,10,49,34,1,0,33,33,0,15,46,46,40,4,4,0,2,40,4,4,4,0,0,0,4
2013-2014,bureau of indian education,3,1,1,1,0,0,0,2,2,1,1,1,0,0,1,0,5,5,2,0,0,0,0,5,0,0,0,0,0,0,0
2013-2014,california,1020,672,362,657,15,0,0,348,3636,2025,1833,1209,192,111,425,1186,3386,428,140,121,15,106,803,2462,74,9,5,5,1,6,63
2013-2014,colorado,16,12,10,7,5,0,0,4,53,35,11,5,24,17,4,14,22,5,3,2,0,2,4,16,0,0,0,0,0,0,0
2013-2014,connecticut,197,103,66,77,9,2,1,92,343,255,87,57,168,118,42,46,237,71,32,10,4,6,50,177,11,8,6,2,2,0,9
2013-2014,delaware,12,7,4,6,1,0,0,5,8,8,1,1,7,4,0,0,19,4,4,0,0,0,0,19,1,0,0,0,0,0,1
2013-2014,district of columbia,21,19,15,17,2,1,1,1,8,3,2,2,1,0,1,4,639,474,13,245,191,54,77,317,40,26,0,20,2,3,17
2013-2014,federated states of micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,florida,123,76,38,64,12,1,1,46,73,46,20,16,26,8,7,20,189,44,26,11,3,4,21,157,11,4,4,1,0,1,9
2013-2014,georgia,101,76,31,76,0,0,0,25,69,49,16,9,33,22,0,20,108,59,37,10,0,10,4,94,8,3,2,0,0,0,8
2013-2014,guam,11,10,3,10,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2013-2014,hawaii,23,10,3,7,3,0,0,13,14,5,0,0,5,5,3,6,79,56,9,10,0,10,20,49,1,0,0,0,0,1,0
2013-2014,idaho,25,18,11,18,0,0,0,7,15,10,1,0,9,9,0,5,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0
2013-2014,illinois,99,64,39,52,8,4,0,31,189,146,104,75,42,36,21,22,296,90,17,9,1,8,74,213,8,1,1,0,0,1,7
2013-2014,indiana,119,61,45,61,0,0,0,58,62,53,5,3,48,39,0,9,62,46,37,4,0,4,10,48,2,2,2,0,0,0,2
2013-2014,iowa,15,8,8,4,4,1,0,6,34,22,3,2,19,16,4,8,15,4,1,1,0,1,6,8,0,0,0,0,0,0,0
2013-2014,kansas,31,20,9,20,0,0,0,11,17,16,2,0,14,12,0,1,10,5,2,2,2,0,0,8,5,2,1,1,0,0,4
2013-2014,kentucky,19,10,8,8,2,0,0,9,6,4,1,1,3,2,0,2,12,6,2,0,0,0,2,10,0,0,0,0,0,0,0
2013-2014,louisiana,33,13,3,13,0,0,0,20,5,2,2,2,0,0,0,3,11,9,5,0,0,0,0,11,1,1,1,0,0,0,1
2013-2014,maine,23,3,2,3,0,0,0,20,58,29,10,5,19,17,0,29,23,4,0,0,0,0,1,22,2,0,0,0,0,0,2
2013-2014,maryland,111,77,64,72,4,1,0,33,259,134,54,36,80,58,21,104,224,74,43,15,3,12,40,169,2,1,1,0,0,0,2
2013-2014,massachusetts,360,237,167,236,1,9,9,114,1030,694,34,25,660,556,112,224,590,20,5,16,0,16,256,318,9,0,0,0,0,0,9
2013-2014,michigan,257,190,124,163,21,1,0,66,90,48,9,8,39,31,2,40,56,28,16,2,2,0,2,52,11,4,1,2,0,0,9
2013-2014,minnesota,74,59,49,48,7,0,0,15,61,28,0,0,28,20,13,20,25,11,1,2,1,1,5,18,6,2,1,1,0,0,5
2013-2014,mississippi,61,42,28,42,0,0,0,19,12,12,3,2,9,5,0,0,4,1,1,0,0,0,0,4,0,0,0,0,0,0,0
2013-2014,missouri,76,65,37,65,0,0,0,11,31,20,8,7,12,11,1,10,64,37,14,7,2,5,5,52,2,0,0,1,0,0,1
2013-2014,montana,8,6,6,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-2014,nebraska,5,3,1,3,0,1,0,1,4,2,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-2014,nevada,9,2,0,2,0,1,0,6,4,2,2,1,0,0,0,2,98,89,58,0,0,0,19,79,0,0,0,0,0,0,0
2013-2014,new hampshire,37,18,12,16,0,0,0,19,31,29,9,9,20,11,1,1,33,5,4,7,4,3,0,26,0,0,0,0,0,0,0
2013-2014,new jersey,227,118,41,105,13,42,42,67,750,599,345,105,254,124,0,151,1031,16,15,49,41,6,324,658,16,1,1,1,0,0,15
